,id,call,call p-val,sms,sms p-val,circumplex.arousal,circumplex.arousal p-val,circumplex.valence,circumplex.valence p-val,activity,activity p-val,screen,screen p-val,appCat.builtin,appCat.builtin p-val,appCat.communication,appCat.communication p-val,appCat.entertainment,appCat.entertainment p-val,appCat.other,appCat.other p-val,appCat.social,appCat.social p-val,appCat.unknown,appCat.unknown p-val,appCat.utilities,appCat.utilities p-val,appCat.finance,appCat.finance p-val,appCat.office,appCat.office p-val,appCat.travel,appCat.travel p-val,appCat.weather,appCat.weather p-val,appCat.game,appCat.game p-val
13,AS14.17,-0.316222507442318,0.14156007511740634,-0.2686573408052846,0.2660729092850449,0.2418927450583715,0.0724770892230188,0.3307186986138026,0.012790754378370748,0.058573109619998724,0.7023189967037613,-0.3026165227206945,0.04332760225829847,0.01767667597015729,0.9082463057200678,-0.054771679561735544,0.7208307140612267,-0.2834035933143689,0.07637839906126061,-0.055298801623317226,0.7182540759371333,-0.28682764007479833,0.05609359359389085,,,0.11657726115875461,0.6054035843084724,0.9999999999999999,,0.05340958920067523,0.8386785322168808,0.047709989772633,0.7920455674599781,,,1.0,0.0
14,AS14.19,0.24826569359965261,0.10417248977413807,0.276189697973207,0.3848675767163082,0.2391834961081903,0.10939667235031635,0.5648562876432758,4.323884960659356e-05,0.07223691038971661,0.6333084413205758,-0.514413845972168,0.00025494451546017645,-0.0338156717351462,0.825464624627846,-0.4994378690947306,0.000410046677104416,0.15902489306661632,0.7634734440302994,-0.08535070007165309,0.5772151428514182,-0.11957240191564542,0.5217192580743837,0.0063213405702962615,0.9871226995499278,-1.0,0.0,,,,,0.34874464098657176,0.7732161004152075,,,1.0,0.0
15,AS14.20,-0.12464043691917984,0.7315454063616724,-0.2370890657450106,0.34350012822055653,0.40617671332071037,0.004613178042316546,0.7031817290861574,3.558477847082006e-08,0.27577830027112266,0.09375812572827383,-0.11105003238281087,0.5009281946339886,-0.45333943318815806,0.004834801859422189,-0.0029396421806301702,0.9872603002004087,-0.27178252753815935,0.23334088868992373,0.09332484795863832,0.6644783889751118,-0.07709297078834529,0.69659565889663,0.23829117075197165,0.5369448725799598,,,1.0,0.0,,,,,,,-0.34360148987679096,0.19256707670064874
16,AS14.23,-0.14985977077823068,0.47461471474268824,0.4621841186463547,0.2103611178058351,-0.2081884396486264,0.2034351637519685,0.5950038153841944,6.46955440744233e-05,0.0325894044778546,0.8438656494333465,-0.24283446992247154,0.13634020643901312,-0.3602465810276485,0.0242730419762412,0.005834788583644826,0.9718780300179465,-0.3091898046725693,0.06258950725087283,0.03485683998153558,0.833150691305346,-0.03528074840742161,0.8429769949931876,-0.08777613267787007,0.627156940073675,0.25714832990763314,0.3548497621845059,,,0.05220642537948953,0.8788382098193379,-0.17498953223644914,0.39254152724732816,,,-0.1151838583865909,0.5672530461581254
17,AS14.24,-0.08422059085222815,0.6006059306169053,0.23422393251595258,0.24945104054405387,0.0702958147427153,0.6100619360832353,0.6980606352930446,6.246653008404523e-09,0.11213420826920292,0.415024389365922,-0.18608224051579697,0.1737541017001291,-0.023111448083416496,0.8669888022900053,-0.0980488014226584,0.47636178509650917,-0.07621140422349608,0.7564876397644442,0.08755358092430233,0.5250220901115643,0.00014588811311313322,0.9991977333655524,0.28971555029809754,0.4495351081333629,-0.3774640499345971,0.052252833154607305,,,0.16331817405333274,0.6745977092664689,0.19713119978717517,0.6398431863816951,,,,
18,AS14.25,0.07791946482703309,0.6992662092825895,-0.17497756080734322,0.5168779594250281,0.30501875331662454,0.1012147078418888,0.766900706322906,7.702819731131491e-07,0.2804773001906202,0.1332828645393727,-0.1754097508871842,0.35384809989324595,0.12313900379324587,0.5168066983791733,-0.29745613452352293,0.11040387310512416,0.2235706804362137,0.5087167637122041,0.24101909350712192,0.1994797175547099,0.14418667577006022,0.4822192218831266,,,,,0.9374856250387901,0.22629446124637825,0.05318689344717439,0.8339794900359367,-0.000539895077921714,0.9983036023128973,-0.04433613723670222,0.8527577933348239,-0.1154921613727696,0.6181193360845593
19,AS14.26,0.20042225215127288,0.2634224476448454,0.14035117662033397,0.6041490988594619,0.2973780281594842,0.013786798390237914,0.8822942006768293,2.7805262404574665e-23,0.235335119221671,0.11539573959055067,-0.253657358338668,0.08894544919704987,-0.19988747714724708,0.18289962879831026,-0.31080344523670544,0.03552374805029479,-0.1336931477643363,0.45097344444401155,0.15092406156609095,0.316732023219615,0.05847325061634728,0.702803160002135,0.044081482915094845,0.891798800286986,-0.12640711745312794,0.7111187289150982,,,,,0.0035584412738602247,0.990794845271935,-0.41325438250716146,0.08827074508005579,,
20,AS14.27,0.5687810625163316,0.0010392861444521733,-0.11584661200731851,0.7199489037611895,-0.19550861791951615,0.21467255528540372,0.9377111659319,5.737242793726223e-20,0.3022268736762844,0.05479103268861958,-0.12192838234899694,0.4476022202100828,-0.04739688332750332,0.7685530814166492,-0.2438276912444712,0.12447277650066355,-1.0,0.0,0.259754339530256,0.10098596547176544,-0.1744790488456896,0.27524803935373804,,,-0.5000413867313588,0.6666362426457523,,,,,0.22526496824685402,0.339628525692741,-0.15614352112979907,0.6882991320437751,-0.030229486867468253,0.859030813649624
21,AS14.28,0.21830410838367037,0.5445743887912522,0.7385489458759968,0.15403090300093578,-0.04808393694397293,0.7743623124016568,0.7266006596768203,2.407580536272163e-07,0.24507220471275168,0.1380792300713221,0.051670551232453905,0.7613449800753123,0.15708386195535845,0.346270611199086,-0.057748455957472,0.7305595768937946,0.005959967798888756,0.973740376466958,-0.01183361792734919,0.9445814007116115,0.12400948253799048,0.46462039719051995,0.07140851797352334,0.7714322456718865,0.14201470278931327,0.49830111519643117,-0.34723249946590096,0.08900710641526527,,,0.1314429723972186,0.5499549588564194,0.23964495830893923,0.2383439381331692,-0.21921874246166198,0.24445833253698485
22,AS14.29,-0.21538175932208678,0.42306730827404426,-0.31637684756389645,0.12336918376312722,0.3165496446742428,0.04110990211087433,0.7992169556447487,2.2185560514455249e-10,0.03844349366614377,0.8113893539514404,-0.20897352261253077,0.1897784865768944,-0.29085822473513434,0.06863614704355304,-0.10466175430894761,0.5148983596500845,-0.1570099637202383,0.45354041727684224,0.14975654840573602,0.35635875971565545,-0.20625672141415813,0.19573163782523206,,,0.40246335290328045,0.21976565348245003,-0.3019795999198674,0.6980204000801324,-0.14976220052993713,0.3500070496542794,0.024606491173425116,0.9156839772941758,,,,
